Logged,Captured,Device ID,CPM0,CPM1,Latitude,Longitude,Altitude,Bat V,Bat SOC,SNR,Temp C,Humid %,Press Pa,PMS PM 1.0,PMS PM 2.5,PMS PM 10.0,PMS # 0.3,PMS # 0.5,PMS # 1.0,PMS # 2.5,PMS # 5.0,PMS # 10.0,PMS # Secs,OPC PM 1.0,OPC PM 2.5,OPC PM 10.0,OP # 0.38,OPC # 0.54,OPC # 1.0,OPC # 2.1,OPC # 5.0,OPC # 10.0,OPC # Secs
2016-10-09 19:49:44,2016-10-09T19:49:42Z,1553490618,28,,42.564835,-70.783821,0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 19:52:27,2016-10-09T19:52:24Z,1553490618,,14,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 19:54:14,2016-10-09T19:54:12Z,1553490618,,,42.123001,-70.123001,123,,,8.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 19:55:13,2016-10-09T19:55:10Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 19:57:41,2016-10-09T19:57:39Z,1553490618,,13,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:00:24,2016-10-09T20:00:22Z,1553490618,27,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:03:15,2016-10-09T20:03:12Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:05:56,2016-10-09T20:05:54Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:08:39,2016-10-09T20:08:37Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:11:29,2016-10-09T20:11:26Z,1553490618,28,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:13:57,2016-10-09T20:13:55Z,1553490618,,9,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:16:27,2016-10-09T20:16:24Z,1553490618,30,,42.564835,-70.783821,0,4.18,98.77,9.0,10.74,99.93,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:19:09,2016-10-09T20:19:07Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:21:59,2016-10-09T20:21:57Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:24:43,2016-10-09T20:24:39Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:27:24,2016-10-09T20:27:22Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:30:14,2016-10-09T20:30:12Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:32:57,2016-10-09T20:32:54Z,1553490618,28,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:35:40,2016-10-09T20:35:37Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:38:29,2016-10-09T20:38:27Z,1553490618,26,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:41:12,2016-10-09T20:41:10Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:43:41,2016-10-09T20:43:38Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:46:24,2016-10-09T20:46:21Z,1553490618,,9,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:49:14,2016-10-09T20:49:11Z,1553490618,32,,42.564835,-70.783821,0,4.18,98.61,8.0,10.50,99.93,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:51:56,2016-10-09T20:51:54Z,1553490618,,13,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:54:39,2016-10-09T20:54:37Z,1553490618,27,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:57:29,2016-10-09T20:57:26Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 20:59:57,2016-10-09T20:59:55Z,1553490618,27,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:02:40,2016-10-09T21:02:38Z,1553490618,,12,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:05:23,2016-10-09T21:05:20Z,1553490618,31,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:08:12,2016-10-09T21:08:10Z,1553490618,,9,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:10:55,2016-10-09T21:10:53Z,1553490618,33,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:13:38,2016-10-09T21:13:35Z,1553490618,,9,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:16:14,2016-10-09T21:16:11Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:18:56,2016-10-09T21:18:54Z,1553490618,,8,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:21:26,2016-10-09T21:21:23Z,1553490618,31,,42.564835,-70.783821,0,4.17,98.45,6.0,10.00,99.93,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:24:08,2016-10-09T21:24:06Z,1553490618,,11,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:26:58,2016-10-09T21:26:56Z,1553490618,29,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:29:41,2016-10-09T21:29:38Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:32:23,2016-10-09T21:32:21Z,1553490618,30,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:35:13,2016-10-09T21:35:11Z,1553490618,,10,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
2016-10-09 21:37:56,2016-10-09T21:37:53Z,1553490618,26,,42.564835,-70.783821,0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
